index,k
115622,0.19416
536838,0.19416
353707,0.19416
39767,0.19416
431218,0.19416
256138,0.19416
639155,0.19416
438239,0.19416
409379,0.19416
193716,0.19416
710335,0.19416
3418,0.19416
203618,0.19416
518593,0.19416
453873,0.19416
434446,0.19416
79305,0.19416
195326,0.19416
267111,0.19416
638235,0.19416
353877,0.19416
570033,0.19416
38913,0.19416
417361,0.19416
673706,0.19416
369653,0.19416
284511,0.19416
57968,0.19416
653818,0.19416
483766,0.19416
681604,0.19416
373762,0.19416
389109,0.19416
185194,0.19416
704459,0.19416
676784,0.19416
371796,0.19416
346661,0.19416
578414,0.19416
360532,0.19416
681265,0.19416
11029,0.19416
157307,0.19416
197042,0.19416
20996,0.19416
243592,0.19416
445895,0.19416
132266,0.19416
509909,0.19416
251134,0.19416
27006,0.19416
380666,0.19416
100067,0.19416
139903,0.19416
554773,0.19416
703621,0.19416
205030,0.19416
349616,0.19416
437293,0.19416
590401,0.19416
388353,0.19416
71179,0.19416
510715,0.19416
204680,0.19416
258414,0.19416
83960,0.19416
55125,0.19416
427984,0.19416
105039,0.19416
715409,0.19416
236831,0.19416
611862,0.19416
350990,0.19416
598870,0.19416
399447,0.19416
376327,0.19416
447836,0.19416
548209,0.19416
322610,0.19416
667526,0.19416
358450,0.19416
129540,0.19416
546303,0.19416
49241,0.19416
684821,0.19416
113009,0.19416
702305,0.19416
663956,0.19416
527292,0.19416
352179,0.19416
430837,0.19416
157054,0.19416
575839,0.19416
135481,0.19416
535338,0.19416
446579,0.19416
365332,0.19416
475885,0.19416
561645,0.19416
705459,0.19416
9165,0.19416
572966,0.19416
207937,0.19416
644785,0.19416
245065,0.19416
588022,0.19416
269587,0.19416
279658,0.19416
53493,0.19416
434779,0.19416
655529,0.19416
699580,0.19416
681571,0.19416
380214,0.19416
158866,0.19416
306272,0.19416
123179,0.19416
683182,0.19416
631480,0.19416
447653,0.19416
629306,0.19416
696782,0.19416
585242,0.19416
280856,0.19416
503677,0.19416
483708,0.19416
293285,0.19416
566185,0.19416
561682,0.19416
646520,0.19416
514823,0.19416
377172,0.19416
247447,0.19416
481367,0.19416
408895,0.19416
234779,0.19416
635317,0.19416
691442,0.19416
196128,0.19416
380344,0.19416
680124,0.19416
673134,0.19416
520944,0.19416
280323,0.19416
374202,0.19416
251772,0.19416
124676,0.19416
248993,0.19416
170569,0.19416
273839,0.19416
396390,0.19416
410020,0.19416
444830,0.19416
394172,0.19416
570160,0.19416
505094,0.19416
671158,0.19416
587376,0.19416
80300,0.19416
157665,0.19416
89227,0.19416
221610,0.19416
388148,0.19416
611963,0.19416
239921,0.19416
590092,0.19416
219262,0.19416
268977,0.19416
44489,0.19416
529056,0.19416
262368,0.19416
422484,0.19416
420558,0.19416
553688,0.19416
147787,0.19416
658653,0.19416
503304,0.19416
365815,0.19416
489841,0.19416
658508,0.19416
51922,0.19416
671423,0.19416
669941,0.19416
174520,0.19416
279050,0.19416
96585,0.19416
77765,0.19416
21198,0.19416
81930,0.19416
375385,0.19416
664862,0.19416
214748,0.19416
426463,0.19416
99325,0.19416
61509,0.19416
243556,0.19416
391657,0.19416
399044,0.19416
613087,0.19416
226147,0.19416
335859,0.19416
277285,0.19416
412832,0.19416
46292,0.19416
127238,0.19416
12352,0.19416
154125,0.19416
356850,0.19416
529754,0.19416
635360,0.19416
698397,0.19416
701466,0.19416
392414,0.19416
512379,0.19416
405371,0.19416
646389,0.19416
233354,0.19416
242682,0.19416
558173,0.19416
676972,0.19416
383893,0.19416
41675,0.19416
487503,0.19416
497887,0.19416
564811,0.19416
104824,0.19416
256093,0.19416
524756,0.19416
531726,0.19416
15326,0.19416
643786,0.19416
95366,0.19416
646334,0.19416
576798,0.19416
632697,0.19416
372884,0.19416
49029,0.19416
611662,0.19416
373608,0.19416
676745,0.19416
552599,0.19416
424446,0.19416
225070,0.19416
506490,0.19416
427505,0.19416
323433,0.19416
502120,0.19416
435623,0.19416
122779,0.19416
353741,0.19416
275711,0.19416
347717,0.19416
399322,0.19416
100313,0.19416
659220,0.19416
220866,0.19416
120330,0.19416
94989,0.19416
366427,0.19416
564690,0.19416
416792,0.19416
64878,0.19416
348292,0.19416
401621,0.19416
72674,0.19416
102123,0.19416
79370,0.19416
83165,0.19416
423785,0.19416
336057,0.19416
692798,0.19416
69496,0.19416
653495,0.19416
581422,0.19416
475847,0.19416
452298,0.19416
323672,0.19416
329102,0.19416
265140,0.19416
392540,0.19416
181383,0.19416
635585,0.19416
674563,0.19416
598517,0.19416
421181,0.19416
677018,0.19416
693555,0.19416
77648,0.19416
86313,0.19416
449455,0.19416
710826,0.19416
129494,0.19416
546791,0.19416
158553,0.19416
585782,0.19416
512513,0.19416
535122,0.19416
511475,0.19416
383053,0.19416
133455,0.19416
669207,0.19416
56385,0.19416
95653,0.19416
434347,0.19416
409194,0.19416
662756,0.19416
471603,0.19416
62230,0.19416
338223,0.19416
78521,0.19416
564754,0.19416
217355,0.19416
330210,0.19416
272034,0.19416
560720,0.19416
265399,0.19416
333072,0.19416
562902,0.19416
354812,0.19416
413572,0.19416
211308,0.19416
340448,0.19416
338835,0.19416
79914,0.19416
114389,0.19416
268128,0.19416
230781,0.19416
550393,0.19416
151201,0.19416
694631,0.19416
255581,0.19416
248188,0.19416
397567,0.19416
211352,0.19416
129406,0.19416
247841,0.19416
145759,0.19416
52068,0.19416
278722,0.19416
427183,0.19416
87868,0.19416
67545,0.19416
678205,0.19416
591928,0.19416
616065,0.19416
515283,0.19416
644441,0.19416
222127,0.19416
123207,0.19416
544391,0.19416
312458,0.19416
534632,0.19416
109498,0.19416
272987,0.19416
382017,0.19416
501029,0.19416
649672,0.19416
234532,0.19416
428481,0.19416
11589,0.19416
273665,0.19416
256078,0.19416
398807,0.19416
617324,0.19416
404012,0.19416
648437,0.19416
108798,0.19416
359143,0.19416
606126,0.19416
144871,0.19416
691795,0.19416
586640,0.19416
236956,0.19416
116792,0.19416
258552,0.19416
210397,0.19416
31537,0.19416
419741,0.19416
138391,0.19416
599016,0.19416
20965,0.19416
235612,0.19416
421613,0.19416
679046,0.19416
135517,0.19416
584528,0.19416
494863,0.19416
215382,0.19416
256229,0.19416
536679,0.19416
67978,0.19416
174107,0.19416
458450,0.19416
262272,0.19416
307690,0.19416
15502,0.19416
13569,0.19416
125543,0.19416
221632,0.19416
165027,0.19416
218420,0.19416
248025,0.19416
165004,0.19416
331447,0.19416
411003,0.19416
444072,0.19416
77384,0.19416
26632,0.19416
684596,0.19416
335297,0.19416
361802,0.19416
89243,0.19416
309898,0.19416
579682,0.19416
710900,0.19416
518633,0.19416
99525,0.19416
638981,0.19416
73574,0.19416
635646,0.19416
115216,0.19416
684014,0.19416
279013,0.19416
264502,0.19416
290300,0.19416
340837,0.19416
378345,0.19416
122561,0.19416
643670,0.19416
382035,0.19416
552272,0.19416
501023,0.19416
709876,0.19416
307215,0.19416
233087,0.19416
55921,0.19416
525909,0.19416
599720,0.19416
18130,0.19416
405452,0.19416
343231,0.19416
278066,0.19416
193297,0.19416
115918,0.19416
14739,0.19416
544154,0.19416
397080,0.19416
189751,0.19416
515390,0.19416
479701,0.19416
535797,0.19416
635699,0.19416
43842,0.19416
559424,0.19416
396729,0.19416
689265,0.19416
636288,0.19416
40852,0.19416
257750,0.19416
30512,0.19416
585702,0.19416
411792,0.19416
61935,0.19416
279392,0.19416
342872,0.19416
585930,0.19416
